symbol,company_name,year,quarter,date,speaker_role,blocks,avg_block_len,vader_mean,vader_median,finbert_mean,finbert_pos,finbert_neg,finbert_neu,finbert_avg_conf
A,"Agilent Technologies, Inc.",2020,1,2020-02-18 16:30:00,operator,1,36.0,0.91,0.91,1.0,1.0,0.0,0.0,0.8987961411476135
A,"Agilent Technologies, Inc.",2020,1,2020-02-18 16:30:00,other,35,90.48571428571428,0.8224342857142857,0.9337,0.5142857142857142,0.7428571428571429,0.22857142857142856,0.02857142857142857,0.7766473974500384
A,"Agilent Technologies, Inc.",2020,2,2020-05-21 16:30:00,operator,1,36.0,0.875,0.875,1.0,1.0,0.0,0.0,0.9066354036331176
A,"Agilent Technologies, Inc.",2020,2,2020-05-21 16:30:00,other,39,83.56410256410257,0.6365589743589743,0.9143,0.9743589743589743,0.9743589743589743,0.0,0.02564102564102564,0.8155440902098631
A,"Agilent Technologies, Inc.",2020,3,2020-08-18 16:30:00,operator,1,35.0,0.875,0.875,1.0,1.0,0.0,0.0,0.9108963012695312
A,"Agilent Technologies, Inc.",2020,3,2020-08-18 16:30:00,other,40,80.375,0.8166575,0.90555,0.775,0.875,0.1,0.025,0.8125286966562271
A,"Agilent Technologies, Inc.",2020,4,2020-11-23 16:30:00,operator,1,36.0,0.875,0.875,1.0,1.0,0.0,0.0,0.90617698431015
A,"Agilent Technologies, Inc.",2020,4,2020-11-23 16:30:00,other,41,83.60975609756098,0.8686073170731708,0.9578,0.6585365853658537,0.8048780487804879,0.14634146341463414,0.04878048780487805,0.7735798271690927
A,"Agilent Technologies, Inc.",2021,1,2021-02-16 16:30:00,operator,1,34.0,0.8176,0.8176,1.0,1.0,0.0,0.0,0.9126971960067748
A,"Agilent Technologies, Inc.",2021,1,2021-02-16 16:30:00,other,40,79.85,0.9160825000000001,0.93475,0.625,0.8,0.175,0.025,0.7717205971479416
A,"Agilent Technologies, Inc.",2021,2,2021-05-25 16:30:00,operator,1,34.0,0.8176,0.8176,1.0,1.0,0.0,0.0,0.9134133458137512
A,"Agilent Technologies, Inc.",2021,2,2021-05-25 16:30:00,other,40,89.725,0.9183350000000001,0.9437,0.475,0.725,0.25,0.025,0.8016931533813476
